ID,Business Unit ,Lat,Lng,Country,Code,item
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,CHINA,CHN,6899D - Apple - APL - W_NEW - Apple - iPhone 15 Pro
44,Wireless New Products,35.000074,104.999927,CHINA,CHN,6899D - Apple - APL - W_NEW - Apple - iPhone 15 Pro
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6899C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6898C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
44,Wireless New Products,35.000074,104.999927,China,CHN,6897C - Apple - APL - W_NEW - Apple - iPhone 12 Mini
